HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Deck,Num,Side,Route,SocialLevel,GroupNumber
1,0,0,1,0,4,4,4,0,0,1,504,0,4,4,2439
1,0,2,2,0,4,4,0,0,4,1,364,1,6,4,1905
1,1,1,0,0,0,0,0,0,0,3,1028,1,5,0,6334
0,0,0,0,0,0,4,4,0,4,0,186,0,1,4,5488
2,1,2,1,0,0,0,0,0,0,1,564,0,9,0,2724
1,1,0,0,0,0,0,0,0,0,3,37,0,4,0,220
2,0,0,2,0,4,1,0,0,4,4,437,1,7,0,6565
1,1,0,0,0,0,0,0,0,0,3,394,0,4,0,2419
0,0,0,3,0,0,4,0,4,4,6,230,1,1,4,6139
0,0,2,2,1,4,4,0,4,4,6,285,1,3,4,7646
1,0,0,1,0,0,4,0,4,4,1,1185,0,4,4,5728
1,1,0,0,0,0,0,0,0,0,3,1098,0,4,0,6766
1,0,0,0,0,0,0,0,0,0,3,1284,0,4,0,7936
1,1,0,2,0,0,0,0,0,0,3,890,0,4,0,5557
2,0,0,2,0,4,3,4,4,0,1,1344,0,7,4,6494
2,0,0,1,0,4,0,4,4,0,1,1067,0,7,4,5234
1,1,2,0,0,0,0,0,0,0,3,860,1,6,0,5282
1,1,0,1,0,0,0,0,0,0,3,809,0,4,0,5003
2,0,0,1,0,4,0,4,0,0,4,85,0,7,0,1387
0,0,0,2,0,0,4,0,4,4,4,476,1,1,4,7161
1,0,0,2,0,1,0,4,4,4,3,896,1,4,4,5555
0,0,0,2,0,3,4,4,4,2,2,19,1,1,4,1653
1,0,0,2,0,4,4,0,3,4,4,259,0,4,4,4144
1,0,0,1,0,4,0,4,0,0,3,756,0,4,0,4657
1,0,0,1,0,4,0,4,0,4,4,518,1,4,4,7888
2,1,0,2,0,0,0,0,0,0,1,1736,1,7,0,8972
1,0,0,4,0,4,4,4,4,4,1,1485,0,4,4,7162
1,0,0,1,0,4,3,4,4,0,1,427,1,4,4,1011
1,1,0,0,0,0,0,0,0,0,3,1162,1,4,0,7074
2,0,1,1,1,4,0,0,4,0,5,25,0,8,0,633
1,0,0,1,0,0,4,4,2,0,1,1029,1,4,0,5374
2,0,0,1,0,4,4,4,3,0,1,1162,1,7,4,6096
1,1,0,1,0,0,0,0,0,0,3,108,1,4,0,703
1,1,0,1,0,0,0,0,0,0,4,427,0,4,0,7890
1,1,2,2,0,0,0,0,0,0,3,1358,1,6,0,8482
0,0,0,3,0,0,4,0,4,4,0,96,0,1,4,3010
0,1,2,2,0,0,0,0,0,0,0,32,1,3,0,849
0,0,0,2,0,2,4,0,3,4,5,119,1,1,4,3735
1,0,2,2,0,4,4,4,4,4,4,222,0,6,4,3761
2,1,0,1,0,0,0,0,0,0,1,96,0,7,0,425
2,0,0,2,0,4,0,4,0,0,1,1686,0,7,0,8158
1,0,1,1,0,0,0,0,0,0,1,239,1,5,0,1248
0,0,0,1,0,4,4,0,4,4,0,192,1,1,4,4841
2,0,0,3,0,4,0,4,4,0,1,1121,0,7,4,5435
0,0,0,2,0,0,4,0,4,4,2,27,0,1,4,3204
2,0,0,1,0,4,0,0,4,0,1,600,0,7,0,2899
1,0,2,1,0,1,0,0,0,4,4,471,0,6,0,7306
2,1,2,3,0,0,0,0,0,0,1,1161,0,9,0,5592
0,0,0,2,0,0,4,0,3,4,0,89,0,1,0,2890
2,1,0,3,0,0,0,0,0,0,1,716,1,7,0,3787
1,0,1,1,0,0,4,0,0,0,1,1880,0,5,0,9192
1,1,0,2,0,0,0,0,0,0,3,1063,0,4,0,6567
2,0,0,0,0,0,0,0,0,0,1,1050,0,7,0,5142
0,1,0,1,0,0,0,0,0,0,6,260,1,1,0,7096
2,0,2,0,0,0,0,0,0,0,1,533,0,9,0,2595
2,0,2,1,0,4,0,4,4,0,1,1435,1,9,4,7510
1,0,0,1,0,1,0,4,4,4,3,463,1,4,4,2906
2,0,2,0,0,0,0,0,0,0,1,423,0,9,0,2137
1,1,1,1,0,0,0,0,0,0,3,1158,0,5,0,7187
2,0,2,1,0,4,0,4,4,0,5,63,1,9,4,1857
1,0,0,0,0,0,0,0,0,0,3,1292,1,4,0,8000
1,0,0,1,0,4,4,4,0,4,1,1505,1,4,4,7863
1,0,0,1,0,0,0,1,4,0,1,483,0,4,0,2367
1,0,0,1,0,0,4,2,4,4,1,1561,0,4,4,7527
2,0,0,1,0,4,0,4,0,0,4,391,1,7,0,5954
0,0,2,2,0,0,4,0,4,4,0,196,0,3,4,5792
1,0,0,1,0,4,0,0,4,4,1,1675,1,4,4,8661
0,0,0,3,0,0,4,4,4,4,0,219,1,1,4,5721
2,1,0,1,0,4,0,4,4,0,1,150,0,7,4,712
0,1,0,1,0,0,0,0,0,0,6,196,1,1,0,5061
2,0,0,2,0,4,0,4,0,0,1,1420,1,7,0,7408
1,1,0,0,0,0,0,0,0,0,3,57,1,4,0,388
2,0,0,2,0,4,0,4,0,0,5,233,0,7,0,7338
1,0,2,0,0,0,0,0,0,0,3,283,1,6,0,1800
0,0,2,0,0,4,4,0,4,4,6,290,0,3,4,8826
0,0,0,1,0,4,4,0,4,4,5,69,1,1,4,2074
1,0,0,1,0,4,0,1,4,4,1,133,1,4,4,727
1,0,0,1,0,4,0,4,4,0,1,301,1,4,4,1547
2,0,2,0,0,0,0,0,0,0,1,187,1,9,0,1002
0,1,0,1,0,0,0,0,0,0,6,225,0,1,0,6971
1,1,0,1,0,0,0,0,0,0,3,658,1,4,0,4000
1,0,1,3,0,4,4,0,4,4,3,794,1,5,4,4889
2,0,0,1,0,4,0,4,0,0,4,542,1,7,0,8287
1,1,1,2,0,0,0,0,0,0,1,427,1,5,0,4397
1,0,2,0,0,0,0,0,0,0,3,571,0,6,0,3476
1,1,1,2,0,0,0,0,0,0,3,1061,1,5,0,6525
1,0,0,1,0,4,0,4,4,0,1,380,1,4,4,1993
0,0,0,3,0,0,4,0,4,4,5,68,0,1,4,2310
1,0,0,3,0,0,4,4,0,4,1,989,1,4,4,5165
1,1,2,1,0,0,4,0,4,0,6,140,1,6,0,3896
1,0,1,1,0,0,0,0,1,4,3,1302,1,5,0,8052
0,1,2,1,0,0,0,0,0,0,0,247,0,3,0,7565
2,0,0,4,0,4,1,4,0,0,0,427,0,7,0,6970
1,0,0,1,0,3,4,4,4,0,3,808,1,4,4,4954
0,0,0,1,0,4,4,4,1,1,0,140,1,1,4,3639
1,1,0,2,0,0,0,0,0,0,2,80,1,4,0,6512
1,0,1,0,0,0,0,0,0,0,3,1433,1,5,0,8886
1,1,0,1,0,0,0,0,0,0,3,1236,0,4,0,7702
2,0,0,1,0,4,0,4,4,0,4,360,0,7,4,5692
0,0,0,2,0,0,4,0,3,4,6,126,1,1,0,3475
1,0,2,0,0,0,0,0,0,0,3,1317,0,6,0,8147
1,1,0,1,0,0,0,0,0,0,3,1308,1,4,0,8130
1,1,0,0,0,0,0,0,0,0,3,875,1,4,0,5440
2,0,0,1,0,4,4,4,0,0,4,562,0,7,4,8749
2,0,0,2,0,4,0,4,0,0,1,755,1,7,0,3986
1,1,0,2,0,0,0,0,0,0,3,69,0,4,0,407
1,0,0,2,0,0,3,4,4,4,3,381,0,4,4,2364
1,0,0,1,0,0,0,4,3,0,3,1011,1,4,0,6245
1,0,1,1,0,0,0,0,3,4,1,588,0,5,0,2837
1,0,0,0,0,4,2,4,4,4,1,261,1,4,4,1350
1,0,0,1,0,0,0,0,4,4,1,755,0,4,0,3631
1,0,2,1,0,0,0,4,4,0,3,1037,1,6,0,6394
2,1,0,0,0,0,0,0,0,0,1,191,0,7,0,925
1,0,0,1,0,4,0,0,0,4,3,28,0,4,0,186
1,0,0,1,0,0,4,4,0,0,1,116,0,4,0,569
1,1,1,2,0,0,0,0,0,0,3,328,1,5,0,2063
2,1,0,0,0,0,0,0,0,0,1,1747,0,7,0,8508
1,0,0,1,0,4,4,4,0,0,3,380,1,4,4,2353
0,0,0,1,0,0,4,4,4,4,0,213,1,1,4,5606
1,1,1,1,0,0,0,0,0,0,3,169,1,5,0,1088
1,0,0,0,0,0,0,0,0,0,3,109,0,4,0,714
2,0,0,0,0,0,0,0,0,0,1,9,0,7,0,31
0,0,0,3,0,0,4,4,4,4,6,123,0,1,4,3699
1,0,0,2,0,3,0,0,0,4,1,1148,1,4,0,6039
1,0,0,1,0,4,0,4,3,4,1,1831,0,4,4,8891
0,1,2,3,0,0,0,0,0,0,6,119,0,3,0,3622
0,0,2,1,0,4,4,4,4,4,0,116,1,3,4,3126
1,1,0,1,0,0,0,0,0,0,3,1505,0,4,0,9268
1,0,2,2,0,4,4,4,4,0,1,1792,1,6,4,9248
1,0,0,2,0,4,4,0,0,4,1,586,0,4,4,2819
2,1,0,2,0,0,0,0,0,0,5,173,1,7,0,5701
1,0,0,1,0,0,4,0,4,0,1,438,1,4,0,2232
2,0,1,3,0,0,0,0,0,0,4,352,0,8,0,5625
1,1,0,0,0,0,0,0,0,0,3,765,1,4,0,4663
1,0,0,1,0,4,0,4,4,0,3,415,0,4,4,2582
0,0,0,2,0,1,4,0,4,4,5,4,0,1,4,116
1,0,1,2,0,4,0,2,0,0,1,822,1,5,0,4373
1,0,0,0,0,0,0,0,0,0,3,1402,0,4,0,8638
0,0,0,1,0,4,4,0,4,4,6,144,0,1,4,4594
2,0,2,2,0,4,4,4,4,0,1,114,0,9,4,563
1,1,0,0,0,0,0,0,0,0,3,630,1,4,0,3868
1,0,0,1,0,4,0,4,4,0,3,1130,1,4,4,6932
0,0,2,4,0,4,4,3,4,4,2,4,0,3,4,753
1,1,0,0,0,0,0,0,0,0,3,1037,1,4,0,6394
1,1,0,1,0,0,0,0,0,0,3,1123,1,4,0,6900
1,1,1,1,0,0,0,0,0,0,3,535,1,5,0,3357
0,0,2,1,1,2,4,0,4,4,0,96,1,3,4,2515
0,0,0,2,0,4,2,0,4,4,0,114,0,1,4,3619
1,1,1,0,0,0,0,0,0,0,3,117,1,5,0,770
0,1,0,0,0,0,0,0,0,0,0,49,1,1,0,1179
1,0,0,1,0,4,0,0,1,3,1,1005,1,4,0,5243
0,1,0,0,0,0,0,0,0,0,6,226,1,1,0,6066
0,1,0,1,0,0,0,0,0,0,6,227,0,1,0,7015
2,1,0,2,0,0,0,0,0,0,4,45,1,7,0,653
0,0,0,2,0,0,0,0,4,4,0,226,1,1,0,5925
2,1,0,1,0,0,0,0,0,0,1,1758,0,7,0,8559
1,0,1,1,0,0,0,0,0,0,3,744,0,5,0,4546
0,1,2,0,0,0,0,0,0,0,0,251,0,3,0,7667
0,1,2,1,0,0,0,0,0,0,0,16,0,3,0,381
1,0,0,1,0,0,4,0,4,0,1,1543,1,4,0,8063
0,1,2,1,0,0,0,0,0,0,6,132,1,3,0,3647
1,1,0,2,0,0,0,0,0,0,6,306,1,4,0,8202
1,0,0,1,0,4,4,1,0,4,1,520,1,4,4,2700
0,0,2,1,0,0,4,0,4,4,2,67,1,3,4,5512
1,0,0,2,0,4,0,4,0,0,1,487,0,4,0,2379
0,0,0,2,0,4,4,0,4,4,2,94,1,1,4,7748
1,1,0,3,0,0,0,0,0,0,3,148,0,4,0,1011
1,1,0,1,0,0,0,0,0,0,3,1002,0,4,0,6182
1,0,0,2,0,1,0,0,0,4,1,1737,1,4,0,8976
1,0,0,2,0,4,4,4,3,0,3,627,0,4,4,3832
1,1,0,2,0,0,0,0,0,0,3,818,1,4,0,4998
1,0,0,1,0,0,0,3,4,4,3,335,0,4,0,2082
0,0,2,1,0,4,4,0,4,4,0,238,1,3,4,6200
1,0,0,2,0,4,4,4,0,4,1,491,1,4,4,2546
2,0,0,0,0,4,4,4,0,0,1,100,0,7,4,463
0,0,0,3,1,4,4,0,4,4,2,0,1,1,4,3
0,0,2,3,0,0,2,0,4,4,1,427,1,3,0,3053
1,1,0,0,0,0,0,0,0,0,3,440,0,4,0,2726
1,0,0,1,0,0,4,0,4,4,3,207,1,4,4,1356
1,0,2,1,0,0,0,4,4,4,1,378,1,6,4,1991
1,1,0,0,0,0,0,0,0,0,3,1023,1,4,0,6309
1,1,1,1,0,0,0,0,0,0,3,81,0,5,0,529
1,1,0,1,0,0,0,0,0,0,3,1172,1,4,0,7192
1,0,0,1,0,4,4,4,3,4,3,1436,1,4,4,8902
1,1,1,1,0,0,0,0,0,0,3,1290,1,5,0,7989
1,0,0,1,0,4,0,4,4,0,3,720,1,4,4,4410
2,1,0,1,0,0,0,0,0,0,4,146,0,7,0,2449
0,0,0,3,0,0,4,1,4,4,2,37,0,1,4,4258
1,1,0,2,0,0,0,0,0,0,3,1026,1,4,0,6325
1,0,0,1,0,0,0,4,4,1,3,870,1,4,0,5368
2,1,0,4,0,0,0,0,0,0,1,646,1,7,0,3418
1,1,0,1,0,0,0,0,0,0,3,330,0,4,0,2055
1,0,0,1,0,0,0,0,4,3,3,1136,1,4,0,6962
1,0,0,1,0,0,0,4,0,0,1,182,1,4,0,984
1,0,0,2,0,4,4,4,4,4,1,396,0,4,4,2001
0,0,0,1,0,0,4,4,4,4,6,281,1,1,4,7585
2,0,1,2,1,4,0,4,3,0,1,1287,0,8,0,6234
1,0,2,1,0,4,0,0,0,0,1,1395,0,6,0,6713
1,1,0,1,0,0,0,0,0,0,3,1460,1,4,0,9074
1,0,0,1,0,0,0,0,4,4,1,23,1,4,0,102
2,0,0,2,0,4,0,4,0,0,1,1059,0,7,0,5198
0,0,0,1,0,4,4,0,4,4,4,116,1,1,4,1606
1,0,0,1,0,4,0,4,3,4,1,812,1,4,4,4329
2,0,1,2,0,4,4,4,0,0,5,116,1,8,4,3714
2,0,0,2,0,4,0,4,0,0,1,925,1,7,0,4874
0,0,0,2,0,3,4,0,4,4,6,95,1,1,4,2645
1,1,0,2,0,0,0,0,0,0,3,1493,0,4,0,9161
0,0,0,2,0,0,4,4,4,4,6,218,1,1,4,5790
1,1,0,1,0,0,0,0,0,0,3,1056,0,4,0,6526
1,0,0,1,0,4,0,0,0,0,1,1696,1,4,0,8760
2,1,0,1,0,0,0,0,0,0,1,1490,1,7,0,7790
2,0,0,1,0,4,0,4,4,0,5,104,0,7,4,3237
1,0,0,1,0,0,0,4,0,4,1,72,0,4,0,331
2,0,0,1,0,4,0,4,0,0,1,15,0,7,0,77
0,0,2,2,0,0,4,0,4,4,5,236,1,3,4,8072
1,0,0,1,0,3,4,4,4,4,3,323,0,4,4,2003
1,0,2,0,0,4,4,0,0,0,1,803,1,6,0,4303
1,0,0,1,0,0,0,0,0,0,3,594,0,4,0,3624
2,0,0,3,1,4,0,4,4,0,5,237,0,7,4,7569
2,0,0,1,0,0,0,0,0,0,1,1509,0,7,0,7283
1,0,2,2,0,4,4,4,0,0,1,258,0,6,4,1285
0,0,2,2,0,0,4,0,4,4,0,185,0,3,4,5466
1,1,0,2,0,0,0,0,0,0,3,431,0,4,0,2650
1,0,0,1,0,0,4,0,4,0,1,1250,1,4,0,6545
1,1,0,1,0,0,0,0,0,0,3,149,0,4,0,1012
0,1,2,2,0,0,0,0,0,0,2,22,0,3,0,2693
1,0,0,1,0,0,0,4,0,0,1,932,1,4,0,4890
1,0,0,1,0,4,0,4,3,4,3,836,0,4,4,5182
0,0,2,2,0,0,4,0,4,4,6,78,1,3,4,2071
2,0,1,1,0,0,4,4,4,0,1,103,0,8,4,476
1,0,1,2,0,0,0,0,0,4,1,355,1,5,0,1844
2,0,0,1,0,4,0,4,4,0,1,1004,1,7,4,5230
0,0,0,3,0,0,4,4,4,4,0,240,0,1,4,7232
1,0,0,1,0,0,0,4,4,0,1,582,0,4,0,2805
1,0,0,1,0,0,0,4,4,0,1,322,0,4,0,1615
2,1,0,1,0,0,0,0,0,0,1,1377,1,7,0,7165
1,0,1,3,0,0,4,4,4,0,4,546,1,5,4,8323
1,0,0,2,0,0,0,0,4,1,3,1224,0,4,0,7633
1,1,0,1,0,0,0,0,0,0,3,898,0,4,0,5623
0,1,2,3,0,0,0,0,0,0,6,82,0,3,0,2306
1,0,0,2,0,0,4,0,4,0,3,372,1,4,0,2317
0,0,0,1,0,0,3,0,4,4,6,125,1,1,0,3353
2,1,0,1,0,0,0,0,0,0,1,1325,1,7,0,6915
0,0,2,2,0,0,4,3,4,4,0,238,0,3,4,7128
1,0,1,1,0,0,4,0,4,4,1,1174,1,5,4,6141
0,0,0,3,0,0,0,0,0,0,0,222,0,1,0,6665
0,0,2,4,0,0,4,4,4,4,0,62,1,3,4,1455
2,0,2,2,0,4,0,4,3,4,5,191,1,9,4,6341
1,1,2,1,0,0,0,0,0,0,3,145,1,6,0,955
2,1,0,1,0,0,0,0,0,0,1,1476,1,7,0,7738
1,0,0,2,0,0,4,0,0,0,3,965,0,4,0,5967
1,0,0,3,0,0,4,0,4,0,3,1066,0,4,0,6580
1,0,2,2,0,0,0,4,0,0,3,829,0,6,0,5133
2,1,0,2,0,0,0,0,0,0,4,311,1,7,0,4796
1,1,0,1,0,0,0,0,0,0,3,666,1,4,0,4047
1,0,0,1,0,0,0,4,4,3,4,125,0,4,0,1994
1,0,0,3,0,0,4,0,4,4,1,13,1,4,4,62
1,0,0,1,0,4,0,0,4,0,1,111,0,4,0,545
0,0,2,2,0,0,4,0,0,4,5,253,0,3,0,8120
1,0,2,1,0,4,4,0,4,4,3,406,0,6,4,2516
2,0,0,0,0,0,0,0,0,0,1,716,1,7,0,3787
1,0,0,1,0,3,4,0,0,0,4,398,1,4,0,6065
1,1,0,1,0,0,0,0,0,0,3,1497,0,4,0,9221
2,0,0,3,1,4,0,0,0,0,5,132,0,7,0,3940
1,0,0,2,0,0,1,0,4,4,1,1179,1,4,0,6156
1,1,1,1,0,0,0,0,0,0,3,558,1,5,0,3456
0,0,0,1,0,4,4,4,4,4,6,226,0,1,4,6988
1,0,0,3,0,0,0,4,0,0,1,1546,1,4,0,8071
1,0,1,1,0,4,0,0,4,4,3,314,1,5,4,1995
1,1,0,1,0,0,0,0,0,0,3,297,0,4,0,1818
1,0,2,1,0,4,0,4,0,4,3,51,0,6,4,314
1,0,1,0,0,0,0,4,0,4,1,1413,1,5,0,7344
0,0,2,1,0,1,4,0,4,4,6,32,0,3,4,889
1,1,2,0,0,0,0,0,0,0,3,469,0,6,0,2892
1,0,0,3,0,4,4,0,0,4,4,118,1,4,4,1631
1,0,0,2,0,0,0,0,4,0,1,427,0,4,0,278
1,0,0,1,0,4,3,4,4,4,1,1894,0,4,4,9272
0,1,0,1,0,0,0,0,0,0,2,50,1,1,0,4179
1,0,0,1,0,0,4,0,4,4,3,631,0,4,4,3849
2,0,0,1,0,4,0,4,4,0,1,1341,1,7,4,7034
0,0,0,1,0,0,4,0,4,4,6,42,0,1,4,1148
1,0,0,2,0,4,0,4,4,4,3,1071,0,4,4,6624
1,0,1,1,0,0,4,4,0,4,1,102,1,5,4,559
1,0,1,1,0,4,4,2,0,4,1,1503,0,5,4,7259
1,0,0,2,0,0,0,4,2,0,1,289,1,4,0,1507
1,0,0,0,0,0,0,0,0,0,3,143,1,4,0,938
1,0,0,1,0,4,0,3,1,4,1,13,0,4,4,70
0,0,0,2,0,0,4,4,4,4,0,77,0,1,4,2541
0,1,2,1,0,0,0,0,0,0,2,50,0,3,0,5469
1,1,0,3,0,0,0,0,0,0,4,427,1,4,0,7904
1,0,1,1,0,0,4,4,4,0,3,1300,1,5,4,8050
0,0,0,1,0,0,4,4,4,4,5,238,1,1,4,8092
1,0,2,1,0,4,0,4,0,4,4,427,0,6,4,3598
0,0,0,1,0,0,4,0,0,4,5,56,0,1,0,1829
1,0,2,0,0,0,4,0,0,0,3,1219,0,6,0,7588
0,0,0,1,0,0,4,0,4,4,2,65,0,1,4,6574
0,0,2,1,0,0,0,0,0,0,6,221,1,3,0,5897
1,0,0,4,0,0,0,4,0,0,1,1076,1,4,0,5622
1,0,0,1,0,3,4,0,4,4,4,28,0,4,4,465
1,0,0,3,0,4,1,4,4,4,3,740,0,4,4,4518
1,0,0,0,0,0,0,0,0,0,4,82,0,4,0,1304
0,0,2,1,0,3,4,0,4,4,2,98,1,3,4,8176
0,1,2,1,0,0,0,0,0,0,0,277,0,3,0,8431
2,1,0,2,0,0,0,0,0,0,1,508,1,7,0,2634
